  5955 SUCCESS  60   3     650     397318     611.26
  5095 SUCCESS 178   5     977     738935     756.33
  9382 SUCCESS 200   3     618     390532     631.93
  7100 SUCCESS 110   3     666     393660     591.08
  4068 SUCCESS  95   3     611     385170     630.39
  6118 SUCCESS 200   4     855     590861     691.07
  6654 SUCCESS  24   8    1505    1078930     716.90
  7628 SUCCESS 200   8    1460     956545     655.17
  1145 SUCCESS 147  13    2404    1593630     662.91
  7551 SUCCESS 171  12    2285    1528892     669.10
   741 SUCCESS  84   3     628     395592     629.92
  4507 SUCCESS  47   3     658     408146     620.28
  5987 SUCCESS 160   3     609     398895     655.00
   862 SUCCESS  57   3     624     429911     688.96
  7957 SUCCESS 132   3     585     410676     702.01
  3615 SUCCESS 185   3     631     435675     690.45
  3119 SUCCESS  18  20    3552    2524923     710.85
  3531 SUCCESS  44   3     632     398052     629.83
  6040 SUCCESS  28   3     651     372909     572.82
  1896 SUCCESS  29   3     662     372518     562.72
  2758 SUCCESS 138   3     619     399817     645.91
