SEED: 7544 REWARD: 5 SUCCESS @ EP:  2724
SEED: 9086 REWARD: 5 SUCCESS @ EP:  2891
SEED: 9086 REWARD: 1 SUCCESS @ EP:  3493
SEED: 5987 REWARD: 5 SUCCESS @ EP:  2959
SEED: 7544 REWARD: 20 SUCCESS @ EP:  2784
SEED: 7544 REWARD: 10 SUCCESS @ EP:  2762
SEED: 7285 REWARD: 1 FAILURE
SEED: 5987 REWARD: 1 FAILURE
SEED: 5987 REWARD: 10 SUCCESS @ EP:  2751
SEED: 9086 REWARD: 20 SUCCESS @ EP:  2828
SEED: 394 REWARD: 1 FAILURE
SEED: 9086 REWARD: 10 SUCCESS @ EP:  2850
SEED: 7285 REWARD: 10 SUCCESS @ EP:  3362
SEED: 862 REWARD: 10 SUCCESS @ EP:  3381
SEED: 9086 REWARD: 50 SUCCESS @ EP:  3431
SEED: 862 REWARD: 5 SUCCESS @ EP:  3953
SEED: 334 REWARD: 10 SUCCESS @ EP:  3228
SEED: 7544 REWARD: 50 SUCCESS @ EP:  3026
SEED: 9588 REWARD: 20 SUCCESS @ EP:  3495
SEED: 7544 REWARD: 100 SUCCESS @ EP:  3427
SEED: 5253 REWARD: 1 FAILURE
SEED: 9213 REWARD: 10 SUCCESS @ EP:  4355
SEED: 7285 REWARD: 20 SUCCESS @ EP:  3856
SEED: 6529 REWARD: 20 SUCCESS @ EP:  2704
SEED: 7544 REWARD: 1 SUCCESS @ EP:  3734
SEED: 5253 REWARD: 20 SUCCESS @ EP:  3677
SEED: 3463 REWARD: 20 SUCCESS @ EP:  4440
SEED: 3463 REWARD: 10 SUCCESS @ EP:  4200
SEED: 862 REWARD: 50 SUCCESS @ EP:  4089
SEED: 9588 REWARD: 100 SUCCESS @ EP:  4595
SEED: 7285 REWARD: 100 SUCCESS @ EP:  4702
SEED: 7285 REWARD: 50 SUCCESS @ EP:  4408
SEED: 334 REWARD: 100 SUCCESS @ EP:  5076
SEED: 334 REWARD: 1 FAILURE
SEED: 3463 REWARD: 50 SUCCESS @ EP:  4952
SEED: 394 REWARD: 100 SUCCESS @ EP:  4295
SEED: 334 REWARD: 50 SUCCESS @ EP:  5177
SEED: 334 REWARD: 20 SUCCESS @ EP:  4851
SEED: 7561 REWARD: 1 FAILURE
SEED: 5253 REWARD: 100 SUCCESS @ EP:  4601
SEED: 6529 REWARD: 1 SUCCESS @ EP:  8168
SEED: 228 REWARD: 50 SUCCESS @ EP:  4355
SEED: 228 REWARD: 100 SUCCESS @ EP:  5046
SEED: 862 REWARD: 100 SUCCESS @ EP:  4931
SEED: 3463 REWARD: 100 SUCCESS @ EP:  5654
SEED: 6529 REWARD: 50 SUCCESS @ EP:  3506
SEED: 9588 REWARD: 50 SUCCESS @ EP:  5082
SEED: 5253 REWARD: 50 SUCCESS @ EP:  4174
SEED: 3172 REWARD: 5 SUCCESS @ EP:  2469
SEED: 3172 REWARD: 1 SUCCESS @ EP:  2777
SEED: 9086 REWARD: 100 SUCCESS @ EP:  5861
SEED: 3172 REWARD: 50 SUCCESS @ EP:  2981
SEED: 862 REWARD: 1 FAILURE
SEED: 3172 REWARD: 10 SUCCESS @ EP:  2875
SEED: 3172 REWARD: 20 SUCCESS @ EP:  2912
SEED: 6529 REWARD: 100 SUCCESS @ EP:  4411
SEED: 9588 REWARD: 10 SUCCESS @ EP:  5909
SEED: 1466 REWARD: 50 SUCCESS @ EP:  3649
SEED: 394 REWARD: 50 SUCCESS @ EP:  5272
SEED: 7561 REWARD: 20 SUCCESS @ EP:  4150
SEED: 7561 REWARD: 5 SUCCESS @ EP:  5014
SEED: 3172 REWARD: 100 SUCCESS @ EP:  3708
SEED: 9213 REWARD: 1 FAILURE
SEED: 1466 REWARD: 100 SUCCESS @ EP:  4291
SEED: 741 REWARD: 1 FAILURE
SEED: 4821 REWARD: 5 SUCCESS @ EP:  4523
SEED: 1466 REWARD: 10 SUCCESS @ EP:  4021
