  9213 FAILURE  62  30    5085    7797532    1533.44
  7285 FAILURE  10  30    4009    5332647    1330.17
   394 FAILURE  10  30    3473    3204747     922.76
 35987 FAILURE   9  30    3184    3624235    1138.26
  3121 FAILURE  97  30    5093    7604173    1493.06
