   161 FAILURE  11   3     218       2689      12.33
   314 SUCCESS 197   8    1688    2617317    1550.54
  2370 FAILURE  13  30    2682    2729888    1017.86
  9826 FAILURE  10  30    3191    3505274    1098.49
   161 FAILURE 121  30    5461    7791275    1426.71
   741 FAILURE  52  30    4966    7943680    1599.61
   280 FAILURE 125  30    5650    8783740    1554.64
  6738 FAILURE  10  30    4208    5868676    1394.65
  9247 SUCCESS 200  11    2139    3171493    1482.70
   985 SUCCESS 200   7    1499    2380203    1587.86
  9295 SUCCESS 200   4     918    1256490    1368.73
   578 SUCCESS 200  12    2486    4263241    1714.90
  7873 SUCCESS 200  16    3307    5292330    1600.34
   427 SUCCESS 200  18    3687    6353787    1723.29
  3857 SUCCESS 200  25    4965    7497094    1509.99
  5868 FAILURE  11  30    4135    4696875    1135.88
  4868 FAILURE  86  30    3720    4310109    1158.63
  8954 FAILURE  10  30    4386    6201593    1413.95
  7726 FAILURE  85  30    4005    4734199    1182.07
  3250 FAILURE  12  30    4499    6897064    1533.02
  1858 FAILURE  76  30    5734    8432135    1470.55
  4323 FAILURE 118  30    5907    9956168    1685.49
  3470 FAILURE  10  30    4413    6632997    1503.06
  3520 FAILURE 123  30    5750    9494811    1651.27
  8079 FAILURE  31  30    5362    9487032    1769.31
  5413 FAILURE  12  30    5653    8476276    1499.43
  9836 FAILURE  45  30    5678   10149171    1787.46
  2517 FAILURE   9  30    4264    5473690    1283.70
  3497 FAILURE  10  30    2493    2963088    1188.56
  1282 FAILURE  10  30    4148    6221097    1499.78
  8137 FAILURE 104  30    5205    8006788    1538.29
  3119 FAILURE  10  30    4910    7545144    1536.69
  6325 FAILURE 129  30    4972    7432010    1494.77
  3664 SUCCESS 200  27    5346    8505522    1591.01
  3217 FAILURE  15  30    5839    9262391    1586.30
   297 SUCCESS 196   8    1732    2597695    1499.82
  3497 FAILURE   9  30    2652    3610207    1361.31
   610 FAILURE  10  30    3351    3505778    1046.19
   173 FAILURE  10  30    3856    5468716    1418.24
  2517 FAILURE  56  30    4257    5995404    1408.36
  5290 SUCCESS 196  16    3210    5538287    1725.32
  7174 FAILURE  11  30    4161    5545543    1332.74
  9599 SUCCESS 200  18    3548    5881534    1657.70
  5955 SUCCESS 200  19    3790    5965439    1573.99
  3119 FAILURE  10  30    4033    5857913    1452.50
  3664 FAILURE  12  30    3997    5836002    1460.10
  5095 FAILURE  10  30    4108    5365390    1306.08
  8120 FAILURE  48  30    4645    7129946    1534.97
  6751 FAILURE  12  30    4234    6043427    1427.36
  4850 FAILURE  12  30    5565    8998658    1617.01
  8367 FAILURE  86  30    5498    7937453    1443.70
